Jordan 1 Retro High OG Bordeaux,$201
Jordan 12 Retro Royalty Taxi,$225
Jordan 11 Retro Cool Grey (2021),$300
Nike Dunk Low Retro White Black (2021),$249
adidas Yeezy Foam RNNR Vermillion,$131
Nike Dunk Low Georgetown,$195
Jordan 4 Retro Lightning (2021),$239
Jordan 3 Retro Pine Green,$207
adidas Yeezy Foam RNNR Ochre,$167
Jordan 5 Retro Moonlight (2021),$210
Jordan 1 Retro High Pollen,$182
adidas Yeezy Slide Pure,$159
adidas Yeezy Boost 350 V2 Light,$240
Nike Dunk Low Championship Red (2021),$156
Jordan 1 Retro High OG Seafoam (W),$229
Jordan 1 Retro High OG Bred Patent,$378
Jordan 1 Retro High White University Blue Black,$325
adidas Yeezy Slide Glow Green,$101
Jordan 1 Mid Banned (2020),$138
Nike Dunk Low Purple Pulse (W),$156
adidas Yeezy 500 Clay Brown,$207
Jordan 4 Retro White Oreo (2021),$380
adidas Yeezy Boost 350 V2 Mono Cinder,$207
Nike Dunk High Championship Navy,$145
Jordan 1 Retro High OG Prototype,$190
adidas Yeezy Boost 700 Wash Orange,$224
Jordan 6 Retro Bordeaux,$198
Nike Dunk Low Grey Fog,$224
Jordan 4 Retro University Blue,$338
Nike Dunk High Game Royal,$150
Nike SB Dunk High RX-0 Unicorn Gundam,$203
New Balance 550 White Green,$205
Jordan 14 Retro Low Shocking Pink (W),$189
Jordan 1 Low OG Neutral Grey (2021),$180
Jordan 1 Low Starfish,$204
Nike LD Waffle SF sacai Fragment Grey,$290
Jordan 12 Retro Utility,$210
Nike Dunk Low Green Glow (W),$158
Nike LD Waffle SF sacai Fragment Blue Void,$239
Jordan 1 Low Fragment x Travis Scott,"$1,098"
